algorithm,n,procs,repeat,time_seconds,reconstruction_error,residual
lu_hilbert_no_pivot,1000,1,4,0.11517690000255243,3.2277805618363352e-16,8.4904930287769026e-15
lu_hilbert_no_pivot,1000,1,5,0.10773210000115796,3.2277805618363352e-16,8.4904930287769026e-15
lu_hilbert_no_pivot,1000,2,1,0.061979100002645282,3.2277805618367336e-16,8.4904930287769279e-15
lu_hilbert_no_pivot,1000,2,2,0.067763899998681154,3.2277805618367336e-16,8.4904930287769279e-15
lu_hilbert_no_pivot,1000,2,3,0.085740599999553524,3.2277805618367336e-16,8.4904930287769279e-15
lu_hilbert_no_pivot,1000,2,4,0.052928799999790499,3.2277805618367336e-16,8.4904930287769279e-15
lu_hilbert_no_pivot,1000,2,5,0.064123600001039449,3.2277805618367336e-16,8.4904930287769279e-15
lu_hilbert_no_pivot,1000,4,1,0.04069300000264775,3.2277805618371537e-16,8.4904930287769168e-15
lu_hilbert_no_pivot,1000,4,2,0.052428000002691988,3.2277805618371537e-16,8.4904930287769168e-15
lu_hilbert_no_pivot,1000,4,3,0.048365399998147041,3.2277805618371537e-16,8.4904930287769168e-15
lu_hilbert_no_pivot,1000,4,4,0.053063300001667812,3.2277805618371537e-16,8.4904930287769168e-15
lu_hilbert_no_pivot,1000,4,5,0.061271400001714937,3.2277805618371537e-16,8.4904930287769168e-15
lu_hilbert_no_pivot,1000,8,1,0.098542000003362773,3.2277805618375136e-16,8.4904930287769184e-15
lu_hilbert_no_pivot,1000,8,2,0.28492140000162181,3.2277805618375136e-16,8.4904930287769184e-15
lu_hilbert_no_pivot,1000,8,3,0.041167200000927551,3.2277805618375136e-16,8.4904930287769184e-15
lu_hilbert_no_pivot,1000,8,4,0.044023500002367655,3.2277805618375136e-16,8.4904930287769184e-15
lu_hilbert_no_pivot,1000,8,5,0.26045950000116136,3.2277805618375136e-16,8.4904930287769184e-15
lu_hilbert_row_pivot,10,1,1,5.9999983932357281e-06,4.6795899180767817e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,1,2,1.1999982234556228e-06,4.6795899180767817e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,1,3,8.9999957708641887e-07,4.6795899180767817e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,1,4,6.9999805418774486e-07,4.6795899180767817e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,1,5,7.0000169216655195e-07,4.6795899180767817e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,2,1,6.7799999669659883e-05,4.6795899180767804e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,2,2,8.0999998317565769e-06,4.6795899180767804e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,2,3,7.700000423938036e-06,4.6795899180767804e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,2,4,1.710000287857838e-05,4.6795899180767804e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,2,5,4.1999992390628904e-06,4.6795899180767804e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,4,1,6.539999958476983e-05,4.6795899180767804e-17,1.2019622663668722e-16
lu_hilbert_row_pivot,10,4,2,2.1100000594742596e-05,4.6795899180767804e-17,1.2019622663668722e-16
lu_hilbert_row_pivot,10,4,3,9.6000003395602107e-06,4.6795899180767804e-17,1.2019622663668722e-16
lu_hilbert_row_pivot,10,4,4,1.4199998986441642e-05,4.6795899180767804e-17,1.2019622663668722e-16
lu_hilbert_row_pivot,10,4,5,9.9999997473787516e-06,4.6795899180767804e-17,1.2019622663668722e-16
lu_hilbert_row_pivot,10,8,1,0.00011209999865968712,4.6795899180767798e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,8,2,2.7400001272326335e-05,4.6795899180767798e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,8,3,1.3800003216601908e-05,4.6795899180767798e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,8,4,2.1500000002561137e-05,4.6795899180767798e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,10,8,5,1.2700002116616815e-05,4.6795899180767798e-17,1.2019622663668719e-16
lu_hilbert_row_pivot,50,1,1,2.4600001779617742e-05,9.7280938357849495e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,1,2,1.9099999917671084e-05,9.7280938357849495e-17,3.5248190159859336e-16
lu_hilbert_row_pivot,50,1,3,1.7600003047846258e-05,9.7280938357849495e-17,3.5248190159859336e-16
